evidence_id,artifact_pattern,method_family,dataset_or_scope,split_or_stage,evaluation_unit,seeds,status,paper_a_eligible,reason,notes
E033,paper_a/phase_reports/related_work_audit.md,"Primary-source formula and novelty audit",NWD;RFLA;SimD;SAFit;GCD;IGWD,provenance_gate,formula_and_placement,none,validation_evidence,yes,"Verified IGWD publication metadata and narrowed SA-ALW novelty against target-adaptive and axis-normalized prior work","Core audit complete; broader post-2024 method search and faithful baseline implementation audit remain"
E034,paper_a/manuscript/main.pdf,"Evidence-gated internal manuscript compile",Paper A,technical_gate,manuscript,none,validation_evidence,yes,"Main draft and supplement compile with canonical method, audited related work, protocol, limitations, and generated empty result table","Internal article class only; performance text remains gated and venue template is pending"
E035,paper_a/tests/test_tinyperson_official_evaluator.py,"Pinned TinyPerson official evaluator fixture",Synthetic,technical_gate,original_image,none,validation_evidence,yes,"Hash-locked IoU/maxDets/area settings reproduce AP25/AP50/AP75=1.0 and IOD ignores a higher-scoring detection inside an uncertain region","NumPy 2 compatibility is applied only after source-hash verification; Kaggle fixture remains mandatory"
E036,paper_a/tests/test_tinyperson_dataset_adapter.py,"TinyPerson binary task-all adapter tests",Synthetic,technical_gate,corner_training_view,none,validation_evidence,yes,"Binary category mapping, official corner cropping, and positive versus ignore/uncertain/crowd routing pass","Official archive, prepared erased images, annotation hashes, and split audit remain pending"
E037,paper_a/schedules/aitodv2_train_p10_p90.json,"AI-TOD-v2 train-only detector-coordinate scale audit",AI-TOD-v2,protocol_gate,post_transform_train_boxes,none,validation_evidence,yes,"301494 valid train positives give P10/P90 6.1968/13.8564 px under min_size=640 max_size=800; resize math is checked against torchvision","Candidate dataset-specific bounds only; beta/w endpoints and TinyPerson bounds remain unfrozen"
E038,paper_a/phase_reports/related_work_audit.md,"Extended primary-source formula and reproducibility audit",SWL;MMPW;DILA,provenance_gate,formula_placement_and_code,none,validation_evidence,yes,"DILA predates ALW per-axis center denominators up to a constant; SWL and MMPW narrow placement/adaptation claims and have official-code fidelity limits","Enables only the narrow C014 formulation-and-placement boundary; broad first/SOTA claims remain forbidden"
E039,paper_a/data_access_policy.md,"Final-test material and performance access separation",Paper A,protocol_gate,test_access,none,validation_evidence,yes,"Discloses one AI-TOD-v2 structural test-material audit and zero performance evaluations; freezes A0-A4 access rules","AI-TOD-v2 is performance-locked rather than literally unseen; TinyPerson remains unacquired"
E040,paper_a/experiments/team_run_shards.csv,"Atomic matched-shard team allocation plan",Paper A,execution_gate,kaggle_assignment,none,validation_evidence,yes,"Dataset-plus-seed comparisons remain atomic and owner load is balanced by predicted GPU-hours","All shards remain blocked and unassigned; this is planning evidence only"
E041,paper_a/tests/test_team_run_shards.py,"Team shard fail-closed validator tests",Synthetic,technical_gate,kaggle_assignment,none,validation_evidence,yes,"Checked-in board passes while READY_FOR_PUSH without assignment/GPU-hours and final-test requests fail","Balance enforcement becomes mandatory after all training shards in an assignment wave are filled"
E042,paper_a/phase_reports/anonymity_preflight_2026-08-02.md,"Internal PDF anonymity and build preflight",Paper A,technical_gate,manuscript_pdf,none,validation_evidence,yes,"Five-page main and one-page supplement compile without unresolved references; no checked identity/path tokens and all fonts embedded","Generic A4 article, one Type-3 font, timestamps, and incomplete anonymous code keep G6 pending"
E043,paper_a/diagnostics/saalw_mechanism_preflight.json,"Controlled SA-ALW mechanism preflight",Synthetic,technical_gate,assignment_and_regression,none,validation_evidence,yes,"Beta preserves within-GT ranking but changes threshold eligibility and cross-scale ownership; position weight can reverse center/shape ranking; beta-only regression equals ALW","Synthetic unfrozen schedule only; C007/C008 remain pending public-train rates and gradients"
E044,paper_a/experiments/pilot_decision_protocol.md,"Preregistered six-method G3 pilot selection rule",TinyPerson,execution_gate,validation_only,42,validation_evidence,yes,"Adds beta-only and position-only controls with a fixed AP selector and tie rule before multi-seed promotion","Blocked on G1/G2, separate pre-run reports, and user owner/account assignment"
E045,paper_a/phase_reports/aitodv2_anchor_assignment_preflight_2026-08-02.md,"AI-TOD-v2 train-anchor SA-ALW assignment preflight",AI-TOD-v2,technical_gate,train_anchor_assignment,42,validation_evidence,yes,"On 64 seeded train images and 1818 GT, full SA-ALW changes 593 anchor assignments and reduces positives 6899 to 6643 while preserving 1816/1818 GT coverage","Bounded D2 annotation-only audit; repeat on TinyPerson and do not infer AP"
E046,paper_a/schedules/endpoint_protocol.md,"Preregistered SA-ALW endpoint and bounded sensitivity protocol",TinyPerson;AI-TOD-v2,protocol_gate,train_schedule_and_validation_sensitivity,42,validation_evidence,yes,"Reference effects are beta 8 to 10 and position weight 1 to 1.5; exactly seven one-axis validation runs include one log-linear alternative","D1 percentile values remain pending acquisition; no endpoint was selected from performance"
E047,paper_a/diagnostics/canonical_detector_smoke_log_linear_seed42.json,"Log-linear SA-ALW detector smoke",Synthetic,technical_gate,detector_forward_backward,42,validation_evidence,yes,"All three placements pass AMP forward/backward with 41311996-parameter parity and strict reload","Synthetic schedule only; no performance evidence and linear remains the reference pilot form"
E048,paper_a/experiment_reports/wp03_a3_seed42_postrun_2026-08-14.md,"WP03 A3 matched seed-42 ALW and SA-ALW fill",TinyPerson,validation,original_image,42,validation_evidence,yes,"Both exact WP02-trainer artifacts pass package audit and independent CUDA reload within the frozen primary tolerance","Validation only; final-test counter unchanged"
E049,paper_a/experiment_reports/wp03_a4_no_go_closeout_2026-08-14.md,"WP03 A4 six-method matrix and paired bootstrap",TinyPerson,validation,original_image,"42;123;2024",validation_evidence,yes,"Complete canonical matrix yields SA-ALW minus ALW mean AP -0.001286 with 95% CI [-0.002939,0.001277], triggering the preregistered NO-GO","Negative result retained; disables C009/C010 and closes Paper A performance training"
